tilastovuosi,okmOhjauksenAla,koulutusala02,koulutustyyppi,koulutusaste,ammattikorkeakoulu,hankkeistetutOpinnaytetyot,opinnaytetyotEiHankkeistetut,kooditKoulutusala2002,kooditOkmOhjauksenAla,kooditAmmattikorkeakoulu,kooditKoulutustyyppi,tietojoukkoPaivitettyPvm
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,94,4,5,99,02467,2,2026-03-06
2015,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,47,2,5,99,02467,6,2026-03-06
2015,Tieto puuttuu,"Sosiaali-, terveys- ja liikunta-ala",Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,139,27,7,99,02467,1,2026-03-06
2015,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,124,12,6,99,02467,1,2026-03-06
2015,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,29,4,6,99,02467,2,2026-03-06
2015,Tieto puuttuu,Luonnonvara- ja ympäristöala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,15,0,6,99,02467,6,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,60,6,5,99,02467,2,2026-03-06
2011,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,37,1,5,99,02467,6,2026-03-06
2011,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,97,17,6,99,02467,1,2026-03-06
2011,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,18,6,6,99,02467,2,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,40,34,2,99,02467,1,2026-03-06
2010,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,7,2,2,99,02467,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,78,5,5,99,02467,2,2026-03-06
2010,Tieto puuttuu,Tekniikan ja liikenteen ala,Ylempi ammattikorkeakoulututkinto,Ylempi ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,44,0,5,99,02467,6,2026-03-06
2010,Tieto puuttuu,Luonnonvara- ja ympäristöala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,82,10,6,99,02467,1,2026-03-06
2013,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,47,28,2,99,02467,1,2026-03-06
2013,Tieto puuttuu,Kulttuuriala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,6,1,2,99,02467,2,2026-03-06
2013,Tieto puuttuu,Luonnontieteiden ala,Amk-tutkintoon johtava aikuiskoulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,5,0,4,99,02467,2,2026-03-06
2013,Tieto puuttuu,Tekniikan ja liikenteen ala,Amk-tutkintoon johtava nuorten koulutus,Ammattikorkeakoulututkinto,Hämeen ammattikorkeakoulu,225,24,5,99,02467,1,2026-03-06
